"lang"
{
    "Language"          "italian"
        "Valve_Ltgray"                              "Grigio"
        "Valve_Dkgray"                              "Dkgray"
        "Valve_Playing"                             "Giocare"
        "Valve_Stopped"                             "Fermato"
        "Valve_Paused"                              "In pausa"
        "Valve_x_1_4"                               "x1/4"
        "Valve_x_1_2"                               "x1/2"
        "Valve_x_1"                                 "x1"
        "Valve_x_2"                                 "x2"
        "Valve_x_4"                                 "x4"
        "Valve_ViewDemoStatus"                      "%s1%s2%s3"
        "vgui_HTMLBack"                             "Indietro"
        "vgui_HTMLForward"                          "Avanti"
        "vgui_HTMLReload"                           "Ricarica"
        "vgui_HTMLStop"                             "Fermare"
        "vgui_HTMLCopyUrl"                          "Copia l'URL della pagina"
        "vgui_HTMLCopyLink"                         "Copia indirizzo collegamento"
        "Valve_LowPingPhys"                         "Fisica del server con ping basso"
        "Valve_Enable_SteamNetworking"              "Abilita la rete Steam"
        "OF_BOOT0TITLE"                             "CAMPO DI AVVIO"
        "OF0A0"                                     "FORZA OPPOSTA"
        "OF1A1TITLE"                                "IN ARRIVO"
        "OF1A3TITLE"                                "BENVENUTO A BLACK MESA"
        "OF1A5TITLE"                                "STIAMO TIRANDO FUORI"
        "OF2A1TITLE"                                "MANCANTE IN AZIONE"
        "OF2A4TITLE"                                "FUOCO AMICO"
        "OF3A1TITLE"                                "NON SIAMO SOLI"
        "OF3A3TITLE"                                "PROFONDITÀ DI SCHIACCIAMENTO"
        "OF4A1TITLE"                                "REALTÀ VICARIA"
        "OF4A4TITLE"                                "NIDO DI VERME PIT"
        "OF5A1TITLE"                                "UNIFORME FOXTROT"
        "OF6A1TITLE"                                "IL PACCHETTO"
        "OF6A4TITLE"                                "I MONDI SI SCONTRONO"
        "OF7A0TITLE"                                "CONCLUSIONE"
        "BA_TRAMTITLE"                              "QUARTIERI ABITATIVI IN USCITA"
        "BA_SECURITYTITLE"                          "INSICUREZZA"
        "BA_CANALSTITLE"                            "CHIAMATE DI SERVIZIO"
        "BA_YARDTITLE"                              "MERCI vincolate"
        "BA_XENTITLE"                               "PUNTO FOCALE"
        "BA_POWERTITLE"                             "LOTTA PER IL POTERE"
        "BA_TELEPORTTITLE"                          "UN SALTO DI FEDE"
        "BA_HAZARD"                                 "CORSO DI PERICOLO"
        "BA_OUTRO"                                  "LIBERAZIONE"
    }
}
