"lang"
{
    "Language"          "japanese"
        "vgui_HTMLReload"                           "リロード"
        "vgui_HTMLStop"                             "停止"
        "vgui_HTMLCopyUrl"                          "ページの URL をコピー"
        "vgui_HTMLCopyLink"                         "リンクアドレスをコピーする"
        "Valve_LowPingPhys"                         "低 ping サーバー物理学"
        "Valve_Enable_SteamNetworking"              "Steam ネットワークを有効にする"
        "OF_BOOT0TITLE"                             "ブートキャンプ"
        "OF0A0"                                     "敵対勢力"
        "OF1A1TITLE"                                "着信中"
        "OF1A3TITLE"                                "ブラックメサへようこそ"
        "OF1A5TITLE"                                "私たちは撤退しています"
        "OF2A1TITLE"                                "活動中に行方不明"
        "OF2A4TITLE"                                "フレンドリーファイア"
        "OF3A1TITLE"                                "私たちは一人ではない"
        "OF3A3TITLE"                                "クラッシュデプス"
        "OF4A1TITLE"                                "代理現実"
        "OF4A4TITLE"                                "ピットワームの巣"
        "OF5A1TITLE"                                "フォックストロットユニフォーム"
        "OF6A1TITLE"                                "パッケージ"
        "OF6A4TITLE"                                "世界が衝突する"
        "OF7A0TITLE"                                "結論"
        "BA_TRAMTITLE"                              "アウトバウンドの居住区"
        "BA_SECURITYTITLE"                          "不安"
        "BA_CANALSTITLE"                            "職務上の呼び出し"
        "BA_YARDTITLE"                              "捕虜貨物"
        "BA_XENTITLE"                               "フォーカルポイント"
        "BA_POWERTITLE"                             "権力闘争"
        "BA_TELEPORTTITLE"                          "信念の飛躍"
        "BA_HAZARD"                                 "ハザードコース"
        "BA_OUTRO"                                  "救出"
    }
}
